node,nodeId,nodeOrder,start,end,duration,state,workId,agvId
Side/Roof Weld #4,4,3,17342.100,17344.100,2.000,down,1240,
Side/Roof Weld #4,4,3,17344.100,17349.100,5.000,process,1241,
Side/Roof Weld #4,4,3,17349.100,17355.100,6.000,wait,1241,
Side/Roof Weld #4,4,3,17355.100,17358.100,3.000,down,1241,
Side/Roof Weld #4,4,3,17358.100,17362.100,4.000,process,1242,
Side/Roof Weld #4,4,3,17362.100,17370.100,8.000,wait,1242,
Side/Roof Weld #4,4,3,17370.100,17372.100,2.000,down,1242,
Side/Roof Weld #4,4,3,17372.100,17377.100,5.000,process,1243,
Side/Roof Weld #4,4,3,17377.100,17383.100,6.000,wait,1243,
Side/Roof Weld #4,4,3,17383.100,17386.100,3.000,down,1243,
Side/Roof Weld #4,4,3,17386.100,17390.100,4.000,process,1244,
